Category,Name,Label
None,None,None
Imputed,imp_att_firsttech,IMPUTED - I like to be among the first people to have the latest technology.
Imputed,imp_att_gastax,IMPUTED - The government should raise the gas tax to help reduce the negative impacts of transportation on the environment.
Imputed,imp_att_uncomf,IMPUTED - I feel uncomfortable around people I do not know.
Imputed,imp_att_onething,IMPUTED - I prefer to do one thing at a time.
Imputed,imp_att_alterdrive,"IMPUTED - Most of the time, I have no reasonable alternatives to driving."
Imputed,imp_att_busy,IMPUTED - I am too busy to do many of the things I like to do.
Imputed,imp_att_carcrash,"IMPUTED - Car crash deaths are an unfortunate but unavoidable part of a modern, efficient transportation system."
Imputed,imp_att_environfriend,IMPUTED - I am  committed to an environmentally-friendly lifestyle.
Imputed,imp_att_wait,IMPUTED - Having  to wait can be a useful pause in a busy day.
Imputed,imp_att_shopstore,IMPUTED - I prefer to shop in a store rather than online.
Imputed,imp_att_techfrus,IMPUTED - Learning how to use new technologies is often frustrating for me.
Imputed,imp_att_rentcar,IMPUTED - I would be fine  with renting out my car to people I do not know.
Imputed,imp_att_intercon,IMPUTED - Having internet connectivity everywhere I go is important to me.
Imputed,imp_att_closetransit,"IMPUTED - I prefer to live close to transit, even if it means I'll have a smaller home and live in a more densely populated area."
Imputed,imp_att_sharperinfo,IMPUTED - Sharing my personal information or location via internet-enabled devices concerns me a lot.
Imputed,imp_att_travrout,IMPUTED - My daily travel routine is generally satisfactory.
Imputed,imp_att_prefdriv,"IMPUTED - When traveling in a vehicle, I prefer to be a driver rather than a passenger."
Imputed,imp_att_spachome,"IMPUTED - I prefer to live in a spacious home, even if it is farther from public transportation or many places I go."
Imputed,imp_att_lesspol,"IMPUTED - I am committed to using a less polluting means of transportation (e.g., walking, biking, and public transit) as much as possible."
Imputed,imp_att_pubtrans,IMPUTED - Public transit is a reliable means of transportation for my daily travel needs.
Imputed,imp_att_motsick,IMPUTED - I tend to feel sick if I read while in a moving vehicle.
Imputed,imp_att_newanddif,IMPUTED - I like trying things that are new and different.
Imputed,imp_att_timeuse,IMPUTED - I try to make good use of the time I spend traveling.
Imputed,imp_att_congest,IMPUTED - The level of congestion during my daily travel  bothers me.
Imputed,imp_att_carown,IMPUTED - I definitely like the idea of owning my own car.
Imputed,imp_att_transtime,IMPUTED - The time spent traveling to places provides a useful transition between activities.
Imputed,imp_att_carquality,IMPUTED - The reliability and quality of a car are more important than its brand.
Imputed,imp_att_mixuse,"IMPUTED - I like the idea of having stores, restaurants, and offices mixed among the homes in my neighborhood."
Imputed,imp_rh_att_expensive,"IMPUTED - Ridehailing services are too expensive to use on a frequent (e.g., daily or weekly) basis."
Imputed,imp_rh_att_reliable,IMPUTED - I would use ridehailing services more often if the service was more reliable.
Imputed,imp_rh_att_savmonpark,IMPUTED - Ridehailing services help me save time and money on parking.
Imputed,imp_rh_att_avimpaired,"IMPUTED - Ridehailing services help me avoid impaired driving (e.g., driving under the influence)."
Imputed,imp_rh_att_carunavail,"IMPUTED - Ridehailing services are good alternatives when my car is temporarily unavailable (e.g., when it is being repaired)."
Imputed,imp_rh_att_awayhome,IMPUTED - Ridehailing services are good travel options for me when I am away from home.
Imputed,imp_rh_att_gettotransit,IMPUTED - Ridehailing services help me get to/from public transit stops.
Imputed,imp_rh_att_transnotavl,IMPUTED - Ridehailing services are good options for me when or where public transit is not available.
Imputed,imp_rh_att_fewcar,IMPUTED - Ridehailing services allow me to live with fewer or no cars.
Imputed,imp_rh_att_drivuncomf,IMPUTED - Traveling with a driver I don't know makes me feel uncomfortable.
Imputed,imp_rh_att_shareuncomf,"IMPUTED - For shared ridehailing (e.g., uberPOOL, Lyft Share), traveling with unfamiliar passengers makes me uncomfortable."
Imputed,imp_rh_att_sharecost,"IMPUTED - The lower cost of shared ridehailing (e.g., uberPOOL, Lyft Share) is worth the additional time picking up and dropping off other passengers."
Imputed,imp_rh_att_carseat,IMPUTED - The lack of a child safety seat prevents me from using ridehailing services.
Imputed,imp_rh_att_ada,IMPUTED - The lack of equipment to accommodate disabilities prevents me from using ridehailing services.
Imputed,imp_rh_att_homeloc,"IMPUTED - Ridehailing service availability affects where I choose to live, work, and/or go to school."
Imputed,imp_av_att_avimpaired,"IMPUTED - AVs would help me avoid impaired driving (e.g., under the effects of medication or alcohol)."
Imputed,imp_av_att_joydriving,IMPUTED - AVs will eliminate my joy of driving.
Imputed,imp_av_att_saferped,IMPUTED - AVs would make me feel safer on the street as a pedestrian or as a cyclist.
Imputed,imp_av_att_children,IMPUTED - I would feel comfortable having an AV pick-up/drop-off children without adult supervision.
Imputed,imp_av_att_equipfail,"IMPUTED - I am concerned about the potential failure of AV sensors, equipment, technology, or programs."
Imputed,imp_av_att_carstress,IMPUTED - AVs would make traveling by car less stressful for me.
Imputed,imp_av_att_sleep,IMPUTED - I would feel comfortable sleeping while traveling in an AV.
Imputed,imp_av_att_longdist,IMPUTED - I would make more long-distance trips when AVs are available because I wouldn't have to drive.
Imputed,imp_av_att_dataleak,IMPUTED - I am concerned that my travel logs and personal information stored in AVs could be leaked.
Imputed,imp_av_att_errands,IMPUTED - I would send an AV to pick-up groceries/laundry/food orders by itself.
Imputed,imp_av_att_neverride,IMPUTED - I will never ride in an AV.
Imputed,imp_av_att_takecontrol,IMPUTED - I want the ability to take control of the AV at any time during the ride.
Imputed,imp_av_att_hhshare,IMPUTED - AVs would make it easy to share vehicles within my household because they can pick-up/drop-off household members on their own.
Imputed,imp_av_att_savetime,IMPUTED - AVs would save me time and money for parking by dropping me off and parking themselves.
Imputed,imp_av_change_makemoretrips,IMPUTED - Likelihood of - Making additional trips that are not made now
Imputed,imp_av_change_travfar_eatshop,IMPUTED - Likelihood of - Traveling farther to go shopping or eat out
