Category,Name,Label
None,None,None
Household,hh_veh,Number of motorized vehicles (including four-wheelers and two-wheelers) available to the household
Household,veh1_make,Vehicle 1 - Make
Household,veh2_make,Vehicle 2 - Make
Household,veh3_make,Vehicle 3 - Make
Household,veh4_make,Vehicle 4 - Make
Household,veh5_make,Vehicle 5 - Make
Household,veh6_make,Vehicle 6 - Make
Household,veh7_make,Vehicle 7 - Make
Household,veh8_make,Vehicle 8 - Make
Household,veh9_make,Vehicle 9 - Make
Household,veh10_make,Vehicle 10 - Make
Household,veh1_modyr,Vehicle 1 - Model year
Household,veh2_modyr,Vehicle 2 - Model year
Household,veh3_modyr,Vehicle 3 - Model year
Household,veh4_modyr,Vehicle 4 - Model year
Household,veh5_modyr,Vehicle 5 - Model year
Household,veh6_modyr,Vehicle 6 - Model year
Household,veh7_modyr,Vehicle 7 - Model year
Household,veh8_modyr,Vehicle 8 - Model year
Household,veh9_modyr,Vehicle 9 - Model year
Household,veh10_modyr,Vehicle 10 - Model year
Household,veh1_yracq,Vehicle 1 - Year acquired
Household,veh2_yracq,Vehicle 2 - Year acquired
Household,veh3_yracq,Vehicle 3 - Year acquired
Household,veh4_yracq,Vehicle 4 - Year acquired
Household,veh5_yracq,Vehicle 5 - Year acquired
Household,veh6_yracq,Vehicle 6 - Year acquired
Household,veh7_yracq,Vehicle 7 - Year acquired
Household,veh8_yracq,Vehicle 8 - Year acquired
Household,veh9_yracq,Vehicle 9 - Year acquired
Household,veh10_yracq,Vehicle 10 - Year acquired
Household,veh1_model,Vehicle 1 - Model
Household,veh2_model,Vehicle 2 - Model
Household,veh3_model,Vehicle 3 - Model
Household,veh4_model,Vehicle 4 - Model
Household,veh5_model,Vehicle 5 - Model
Household,veh6_model,Vehicle 6 - Model
Household,veh7_model,Vehicle 7 - Model
Household,veh8_model,Vehicle 8 - Model
Household,veh9_model,Vehicle 9 - Model
Household,veh10_model,Vehicle 10 - Model
Household,veh1_fuel,Vehicle 1 - Fuel type
Household,veh2_fuel,Vehicle 2 - Fuel type
Household,veh3_fuel,Vehicle 3 - Fuel type
Household,veh4_fuel,Vehicle 4 - Fuel type
Household,veh5_fuel,Vehicle 5 - Fuel type
Household,veh6_fuel,Vehicle 6 - Fuel type
Household,veh7_fuel,Vehicle 7 - Fuel type
Household,veh8_fuel,Vehicle 8 - Fuel type
Household,veh9_fuel,Vehicle 9 - Fuel type
Household,veh10_fuel,Vehicle 10 - Fuel type
Household,veh1_miles,Vehicle 1 - Annual Miles Driven by All Drivers (Estimate)
Household,veh2_miles,Vehicle 2 - Annual Miles Driven by All Drivers (Estimate)
Household,veh3_miles,Vehicle 3 - Annual Miles Driven by All Drivers (Estimate)
Household,veh4_miles,Vehicle 4 - Annual Miles Driven by All Drivers (Estimate)
Household,veh5_miles,Vehicle 5 - Annual Miles Driven by All Drivers (Estimate)
Household,veh6_miles,Vehicle 6 - Annual Miles Driven by All Drivers (Estimate)
Household,veh7_miles,Vehicle 7 - Annual Miles Driven by All Drivers (Estimate)
Household,veh8_miles,Vehicle 8 - Annual Miles Driven by All Drivers (Estimate)
Household,veh9_miles,Vehicle 9 - Annual Miles Driven by All Drivers (Estimate)
Household,veh10_miles,Vehicle 10 - Annual Miles Driven by All Drivers (Estimate)
Household,adas_lanekeep,Driving assistance features in Vehicle 1 - Lane keeping system
Household,adas_backcam,Driving assistance features in Vehicle 1 - Backup camera
Household,adas_acc,Driving assistance features in Vehicle 1 - Adaptive Cruise Control (ACC)
Household,adas_abs,Driving assistance features in Vehicle 1 - Automated braking system
Household,adas_blindspot,Driving assistance features in Vehicle 1 - Blind spot monitoring
Household,adas_other,Driving assistance features in Vehicle 1 - Other
Household,adas_none,Driving assistance features in Vehicle 1 - None
