Variables,Name,Category,Variable,Detail
None,None,None,Person,None
Gender,Gender,Person,Person,Gender
race_category,Race Group,Person,Person,"Race or Ethnicity, in very broad groups for sufficient samples for statistical significance; children did not answer this question, and some people chose not to answer."
age_category,Age Group,Person,Person,"Age in years,  in broad groups for sufficient samples for statistical significance"
Age,Age,Person,Person,"Age in years, detailed age group"
Age 18+_ Educational attainment,Education,Person,Person,Highest level of education completed
Age 16+_ Has valid drivers license,Driver's License,Person,Person,Survey Question: Has a valid driver's license or permit?
Times ridden transit in past 30 days,Times ridden transit in past 30 days,Travel,Person,"Survey Question: In the past 30 days, how often have you ridden transit?"
Times ridden a bike in past 30 days,Times ridden a bike in past 30 days,Travel,Person,"Survey Question: In the past 30 days, how often have you ridden a bike (for 15 minutes or more?"
Times gone for a walk in past 30 days,Times gone for a walk in past 30 days,Travel,Person,"Survey Question: In the past 30 days, how often have you gone for a walk (for 15 minutes or more)?"
Age 16+_ Times used carshare in past 30 days,Times used carshare in past 30 days,Travel,Person,"Survey Question: Age 16+, In the past 30 days, how often have you used Carshare (e.g. car2go, RelayRides)?"
Age 16+_ Times used rideshare in past 30 days,Times used rideshare in past 30 days,Travel,Person,"Survey Question: Age 16+, In the past 30 days, how often have you used Rideshare (e.g. Lyft, Uber)?"
Main Mode,Mode Group,Travel,Trip,"Mode Category, in broad groups for sufficient samples for statistical significance"
dest_purpose_simple,Destination Purpose Group,Travel,Trip,"Destination purpose category, in broad groups for sufficient samples for statistical significance"
o_rgcname,Trip Origin Regional Growth Center,Travel,Trip,Trip Origin Regional Growth Center
d_rgcname,Trip Destination Regional Growth Center,Travel,Trip,Trip Destination Regional Growth Center
Transit trip_ Travel mode to transit,Transit Access Mode,Travel,Trip,Survey Question: How did you travel from your origin to the first transit stop/station?
travelers_total,Number of People in Vehicle,Travel,Trip,Number of people total who traveled on trip
travelers_hh,Number of Household Members Travelling With,Travel,Trip,Household members who traveled on trip
Primary Mode,Detailed Mode,Travel,Trip,"Main way traveled on trip, detailed"
Destination purpose,Detailed Purpose,Travel,Trip,"Main purpose of trip, detailed category"
Auto trip_ non-taxi_ Driver or passenger,Driver or Passenger,Travel,Trip,Survey Question: Were you the driver or passenger on the trip?
Auto trip_ non-taxi_ Park location at end of trip,Parking Location at Trip Destination,Travel,Trip,Survey Question: Where was the vehicle parked at/near?
Age 18+_ Employment status,Employment Status,Worker,Person,Primary type of employment
Employed_ Number of hours typically worked per week,Hours Worked,Worker,Person,Survey Question: How many hours typically worked per week?
Employed_ fixed_varied workplace_ How often typically commutes to workplace,Commute Frequency,Worker,Person,Survey Question: How often typically commutes to workplace?
